crop;yield;region;categorie
P.pratense;8.03;Europe;pluri-annual
P.pratense;7.07;Europe;pluri-annual
P.pratense;8.88;Europe;pluri-annual
P.pratense;8;Europe;pluri-annual
P.pratense;5.6;Europe;pluri-annual
P.pra : F.aru;7.67;Europe;intercrops
P.pra : F.aru;9.79;Europe;intercrops
P.pra : F.aru;8.39;Europe;intercrops
P.pra : F.aru;9.26;Europe;intercrops
P.pra : F.aru;10.5;Europe;intercrops
P.pra : F.aru;8.38;Europe;intercrops
P.pra : T.pra;6.45;Europe;intercrops
P.pra : T.pra;7.6;Europe;intercrops
P.pra : T.pra;5.44;Europe;intercrops
P.pra : T.pra;7.51;Europe;intercrops
P.pra : T.pra;6.47;Europe;intercrops
P.pra : T.pra;4.95;Europe;intercrops
P.australis;0.92;Europe;perennial
P.australis;3.72;Europe;perennial
P.australis;3.62;Europe;perennial
P.australis;4.15;Europe;perennial
P.australis;2.8;Europe;perennial
P.australis;2.7;Europe;perennial
Populus;5.4;Europe;SRC
Populus;10.05;Europe;SRC
Populus;4.89;Europe;SRC
Populus;8.11;Europe;SRC
Populus;10.73;Europe;SRC
Populus;6.68;Europe;SRC
Populus;8.54;Europe;SRC
Populus;11.84;Europe;SRC
Populus;7.15;Europe;SRC
Populus;9.77;Europe;SRC
Populus;13.63;Europe;SRC
Populus;7.51;Europe;SRC
Populus;7.8;Europe;SRC
Populus;9.9;Europe;SRC
Populus;5.4;Europe;SRC
Populus;7.9;Europe;SRC
Populus;10;Europe;SRC
Populus;6.5;Europe;SRC
Populus;8.7;Europe;SRC
Populus;9.5;Europe;SRC
Populus;6.9;Europe;SRC
Populus;7.6;Europe;SRC
Populus;10.1;Europe;SRC
Populus;6.9;Europe;SRC
S.arundinaceum;14.58;Americas;perennial
S.arundinaceum;15.67;Americas;perennial
S.arundinaceum;32.74;Americas;perennial
S.arundinaceum;24.35;Americas;perennial
S.arundinaceum;30.54;Americas;perennial
S.arundinaceum;27.34;Americas;perennial
S.officinarum;13.5;Asia;perennial
S.officinarum;15.9;Asia;perennial
S.spp;38.4;Americas;perennial
S.spp;40.9;Americas;perennial
S.spp;38.27;Americas;perennial
S.spp;40.67;Americas;perennial
S.spp;32.72;Americas;perennial
S.spp;27.27;Americas;perennial
S.spp;35.41;Americas;perennial
S.spp;38.62;Americas;perennial
S.spp;30.95;Americas;perennial
S.spp;19.1;Americas;perennial
S.spp;10.66;Americas;perennial
S.spp;13.15;Americas;perennial
S.spp;9.27;Americas;perennial
S.spp;7.2;Americas;perennial
Salix;12.5;Europe;SRC
Salix;2.62;Europe;SRC
Salix;1.97;Europe;SRC
Salix;10.62;Europe;SRC
Salix;9.02;Europe;SRC
Salix;9;Europe;SRC
Salix;8.22;Europe;SRC
Salix;18.41;Europe;SRC
Salix;16.15;Europe;SRC
